position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Super Mario,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,398.51m,N/A,N/A,N/A,N/A,N/A,20th Jul 83  ,20th Feb 20
2,Sonic the Hedgehog,Series,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,97.11m,N/A,N/A,N/A,N/A,N/A,23rd Jun 91  ,07th Feb 20
3,Donkey Kong,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,65.00m,N/A,N/A,N/A,N/A,N/A,31st Jul 81  ,21st Feb 20
4,Crash Bandicoot,Series,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,09th Sep 96  ,02nd Mar 20
5,Kirby,Series,Nintendo  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,47.38m,N/A,N/A,N/A,N/A,N/A,01st Aug 92  ,22nd Feb 20
6,Terraria,All,Re-Logic  ,Re-Logic  ,N/A  ,N/A  ,N/A  ,44.50m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,10th Oct 20
7,Super Mario Bros.,NES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,8.2  ,40.24m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
8,Mega Man,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,38.00m,N/A,N/A,N/A,N/A,N/A,17th Dec 87  ,03rd Feb 20
9,New Super Mario Bros.,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,8.1  ,30.80m,N/A,N/A,N/A,N/A,N/A,15th May 06  ,N/A
10,New Super Mario Bros. Wii,Wii,Nintendo  ,Nintendo EAD  ,9.1  ,8.6  ,9.2  ,30.32m,N/A,N/A,N/A,N/A,N/A,15th Nov 09  ,N/A
11,Yoshi,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,27.31m,N/A,N/A,N/A,N/A,N/A,01st Jun 92  ,21st Feb 20
12,Rayman,Series,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,26.00m,N/A,N/A,N/A,N/A,N/A,19th Sep 95  ,10th Feb 20
13,Super Mario Odyssey,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.9  ,N/A  ,25.12m,N/A,N/A,N/A,N/A,N/A,27th Oct 17  ,19th Nov 18
14,Human: Fall Flat,All,Curve Digital  ,No Brakes Games  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,22nd Jul 16  ,11th Feb 21
15,Terraria,PC,Re-Logic  ,Re-Logic  ,N/A  ,8.8  ,N/A  ,23.00m,N/A,N/A,N/A,N/A,N/A,16th May 11  ,19th Mar 18
16,Super Mario World,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,20.61m,N/A,N/A,N/A,N/A,N/A,13th Aug 91  ,10th Aug 18
17,Spyro,Series,Sony Interactive Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,10th Sep 98  ,06th Mar 20
18,Super Mario Land,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,18.14m,N/A,N/A,N/A,N/A,N/A,01st Aug 89  ,N/A
19,Super Mario Bros. 3,NES,Nintendo  ,Nintendo R&D2  ,N/A  ,N/A  ,N/A  ,17.28m,N/A,N/A,N/A,N/A,N/A,12th Feb 90  ,09th Aug 18
20,Gex,Series,BMG Interactive Entertainment  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,01st Apr 95  ,01st Mar 20
21,Sonic the Hedgehog,GEN,Sega  ,Sonic Team  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,23rd Jun 91  ,N/A
22,New Super Mario Bros. U Deluxe,NS,Nintendo  ,Nintendo EPD  ,N/A  ,N/A  ,6.6  ,14.75m,N/A,N/A,N/A,N/A,N/A,11th Jan 19  ,02nd Aug 20
23,New Super Mario Bros. 2,3DS,Nintendo  ,Nintendo  ,7.6  ,7.5  ,N/A  ,13.41m,N/A,N/A,N/A,N/A,N/A,19th Aug 12  ,30th Jan 18
24,Super Mario 3D Land,3DS,Nintendo  ,Nintendo EAD Tokyo  ,9.1  ,8.9  ,N/A  ,12.87m,N/A,N/A,N/A,N/A,N/A,13th Nov 11  ,06th Apr 18
25,Super Mario Galaxy,Wii,Nintendo  ,Nintendo EAD Tokyo  ,9.6  ,9.7  ,9.6  ,12.80m,N/A,N/A,N/A,N/A,N/A,12th Nov 07  ,N/A
26,Wario,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,12.13m,N/A,N/A,N/A,N/A,N/A,13th Mar 94  ,22nd Feb 20
