position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Tetris,Series,The Tetris Company  ,Alexey Pajitnov  ,N/A  ,N/A  ,N/A  ,496.40m,N/A,N/A,N/A,N/A,N/A,01st Jan 88  ,27th Feb 20
2,Bejeweled,Series,PopCap Games  ,PopCap Games  ,N/A  ,N/A  ,N/A  ,50.00m,N/A,N/A,N/A,N/A,N/A,30th May 01  ,25th Feb 20
3,Brain Age,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,35.09m,N/A,N/A,N/A,N/A,N/A,16th Apr 06  ,20th Feb 20
4,Tetris,GB,Nintendo  ,Bullet Proof Software  ,N/A  ,N/A  ,N/A  ,30.26m,N/A,N/A,N/A,N/A,N/A,31st Jul 89  ,N/A
5,Portal,Series,Valve  ,Valve  ,N/A  ,N/A  ,N/A  ,27.03m,N/A,N/A,N/A,N/A,N/A,10th Oct 07  ,19th Feb 20
6,Puyo Puyo,Series,Sega  ,Compile  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,11th Feb 02  ,07th Feb 20
7,Lemmings,Series,Psygnosis  ,DMA Design  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,14th Feb 91  ,14th Mar 20
8,Zuma,All,PopCap Games  ,Oberon Media  ,N/A  ,N/A  ,N/A  ,17.00m,N/A,N/A,N/A,N/A,N/A,12th Dec 03  ,30th Nov 20
9,Zuma,Series,PopCap Games  ,Oberon Media  ,N/A  ,N/A  ,N/A  ,17.00m,N/A,N/A,N/A,N/A,N/A,12th Dec 03  ,16th Feb 20
10,Portal,All,Valve  ,Valve  ,N/A  ,N/A  ,N/A  ,13.97m,N/A,N/A,N/A,N/A,N/A,10th Oct 07  ,09th Nov 20
11,Scribblenauts,Series,Warner Bros. Interactive Entertainment  ,5th Cell  ,N/A  ,N/A  ,N/A  ,13.00m,N/A,N/A,N/A,N/A,N/A,15th Sep 09  ,01st Mar 20
12,Bomberman,Series,Konami  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 87  ,19th Feb 21
13,The Room,Series,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,11.60m,N/A,N/A,N/A,N/A,N/A,01st Sep 12  ,18th Mar 20
14,Big Brain Academy,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,11.08m,N/A,N/A,N/A,N/A,N/A,05th Jun 06  ,23rd Mar 20
15,Monument Valley,Series,Ustwo Games  ,Ustwo Games  ,N/A  ,N/A  ,N/A  ,8.59m,N/A,N/A,N/A,N/A,N/A,03rd Apr 14  ,30th Jan 21
16,Pac-Man,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,7.70m,N/A,N/A,N/A,N/A,N/A,01st Mar 82  ,N/A
17,The Room,All,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,6.94m,N/A,N/A,N/A,N/A,N/A,01st Sep 12  ,18th Dec 20
18,Mario vs. Donkey Kong,Series,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,N/A  ,N/A  ,5.87m,N/A,N/A,N/A,N/A,N/A,24th May 04  ,22nd Feb 20
19,Tetris,NES,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,5.58m,N/A,N/A,N/A,N/A,N/A,01st Nov 89  ,N/A
20,Dr. Mario,GB,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,5.34m,N/A,N/A,N/A,N/A,N/A,01st Dec 90  ,N/A
21,Monument Valley,All,Ustwo Games  ,Ustwo Games  ,N/A  ,N/A  ,N/A  ,5.10m,N/A,N/A,N/A,N/A,N/A,03rd Apr 14  ,30th Jan 21
22,Yoshi,All,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,4.87m,N/A,N/A,N/A,N/A,N/A,01st Jun 92  ,09th Nov 20
23,Dr. Mario,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,4.85m,N/A,N/A,N/A,N/A,N/A,01st Oct 90  ,N/A
24,Captain Toad: Treasure Tracker,All,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,05th Dec 14  ,03rd Mar 21
25,Monument Valley 2,All,Ustwo Games  ,Ustwo Games  ,N/A  ,N/A  ,N/A  ,3.50m,N/A,N/A,N/A,N/A,N/A,05th Jun 17  ,30th Jan 21
26,The Room Two,All,Fireproof Games  ,Fireproof Games  ,N/A  ,N/A  ,N/A  ,3.28m,N/A,N/A,N/A,N/A,N/A,12th Dec 13  ,18th Dec 20
27,Yoshi,GB,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,3.12m,N/A,N/A,N/A,N/A,N/A,01st Jul 92  ,N/A
28,Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo  ,Nintendo Software Technology Corporation  ,N/A  ,7.8  ,N/A  ,2.98m,N/A,N/A,N/A,N/A,N/A,14th Nov 10  ,N/A
29,Pac-Man Collection,GBA,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,N/A,2.94m,2.07m,0.77m,0.05m,0.05m,12th Jul 01  ,N/A
30,Tetris DS,DS,Nintendo  ,Nintendo  ,N/A  ,8.5  ,N/A  ,2.74m,N/A,N/A,N/A,N/A,N/A,20th Mar 06  ,N/A
31,Yoshi's Cookie,All,Nintendo  ,TOSE  ,N/A  ,N/A  ,N/A  ,2.65m,N/A,N/A,N/A,N/A,N/A,21st Nov 92  ,09th Nov 20
32,Lumines,Series,Ubisoft  ,Q Entertainment  ,N/A  ,N/A  ,N/A  ,2.50m,N/A,N/A,N/A,N/A,N/A,23rd Mar 05  ,26th Feb 21
33,WarioWare Touched!,DS,Nintendo  ,Intelligent Systems  ,N/A  ,7.8  ,N/A  ,2.47m,N/A,N/A,N/A,N/A,N/A,14th Feb 05  ,N/A
34,Tetris Plus,PS,Jaleco  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,2.40m,2.10m,0.24m,N/A,0.07m,18th Oct 96  ,N/A
