position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,Mario Kart,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,173.41m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,20th Feb 20
2,Need for Speed,Series,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,150.00m,N/A,N/A,N/A,N/A,N/A,31st Aug 94  ,24th Feb 20
3,Gran Turismo,Series,Sony Interactive Entertainment  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,90.00m,N/A,N/A,N/A,N/A,N/A,12th May 98  ,05th Feb 20
4,Mario Kart 8 Deluxe,NS,Nintendo  ,Nintendo EPD  ,N/A  ,9.3  ,N/A  ,52.00m,N/A,N/A,N/A,N/A,N/A,28th Apr 17  ,19th Nov 18
5,Mario Kart Wii,Wii,Nintendo  ,Nintendo EAD  ,8.7  ,8.2  ,9.1  ,37.38m,N/A,N/A,N/A,N/A,N/A,27th Apr 08  ,11th Apr 18
6,Mario Kart DS,DS,Nintendo  ,Nintendo EAD  ,N/A  ,9.1  ,9.4  ,23.60m,N/A,N/A,N/A,N/A,N/A,14th Nov 05  ,N/A
7,Driver,Series,GT Interactive  ,Ubisoft Reflections  ,N/A  ,N/A  ,N/A  ,19.00m,N/A,N/A,N/A,N/A,N/A,30th Jun 99  ,09th Feb 20
8,Mario Kart 7,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,9.0  ,8.2  ,N/A  ,18.98m,N/A,N/A,N/A,N/A,N/A,04th Dec 11  ,N/A
9,Midnight Club,Series,Rockstar Games  ,Rockstar San Diego  ,N/A  ,N/A  ,N/A  ,18.50m,N/A,N/A,N/A,N/A,N/A,26th Oct 00  ,15th Feb 20
10,Need for Speed: Most Wanted,All,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,17.80m,N/A,N/A,N/A,N/A,N/A,15th Nov 05  ,20th Oct 20
11,Need for Speed: Carbon,All,Electronic Arts  ,EA Canada  ,N/A  ,N/A  ,N/A  ,15.60m,N/A,N/A,N/A,N/A,N/A,30th Oct 06  ,30th Aug 21
12,Burnout,Series,EA Sports  ,Criterion Games  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 01  ,23rd Feb 20
13,Need for Speed: Underground,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 03  ,20th Oct 20
14,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.3  ,N/A  ,14.89m,N/A,N/A,N/A,N/A,N/A,09th Jul 01  ,N/A
15,Assetto Corsa,All,Kunos Simulazioni  ,Kunos Simulazioni  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,19th Dec 14  ,31st May 21
16,Gran Turismo 5,PS3,Sony Computer Entertainment  ,Polyphony Digital  ,8.8  ,8.3  ,N/A  ,11.95m,N/A,N/A,N/A,N/A,N/A,24th Nov 10  ,N/A
17,Gran Turismo 4,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,8.7  ,N/A  ,11.76m,N/A,N/A,N/A,N/A,N/A,22nd Feb 05  ,N/A
18,Need for Speed: Underground 2,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 04  ,20th Oct 20
19,Need for Speed: ProStreet,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,10.90m,N/A,N/A,N/A,N/A,N/A,14th Nov 07  ,20th Oct 20
20,Gran Turismo,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.5  ,N/A  ,10.85m,N/A,N/A,N/A,N/A,N/A,30th Apr 98  ,N/A
21,MX vs. ATV,Series,THQ Nordic  ,Rainbow Studios  ,N/A  ,N/A  ,N/A  ,10.00m,N/A,N/A,N/A,N/A,N/A,05th Feb 01  ,26th Apr 20
22,Mario Kart 64,N64,Nintendo  ,Nintendo EAD  ,N/A  ,8.5  ,N/A  ,9.87m,N/A,N/A,N/A,N/A,N/A,10th Feb 97  ,N/A
23,Gran Turismo 2,PS,Sony Computer Entertainment  ,Polyphony Digital  ,N/A  ,9.2  ,N/A  ,9.37m,N/A,N/A,N/A,N/A,N/A,17th Jan 99  ,N/A
24,Need for Speed: Undercover,All,Electronic Arts  ,EA Black Box  ,N/A  ,N/A  ,N/A  ,8.90m,N/A,N/A,N/A,N/A,N/A,18th Nov 08  ,20th Oct 20
25,Super Mario Kart,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,10.0  ,N/A  ,8.76m,N/A,N/A,N/A,N/A,N/A,01st Sep 92  ,N/A
26,Mario Kart 8,WiiU,Nintendo  ,Nintendo  ,8.4  ,8.8  ,N/A  ,8.46m,N/A,N/A,N/A,N/A,N/A,30th May 14  ,02nd Aug 20
27,Cars,All,THQ  ,Rainbow Studios  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,06th Jun 06  ,27th Feb 21
28,Moto Racer,Series,Electronic Arts  ,SK Software International  ,N/A  ,N/A  ,N/A  ,8.00m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97  ,15th Feb 20
