position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1,FIFA,Series,EA Sports  ,Extended Play Productions (1991-1997)  ,N/A  ,N/A  ,N/A  ,325.00m,N/A,N/A,N/A,N/A,N/A,15th Dec 93  ,03rd Feb 20
2,Madden NFL,Series,Electronic Arts  ,Park Place Productions  ,N/A  ,N/A  ,N/A  ,130.00m,N/A,N/A,N/A,N/A,N/A,01st Jun 88  ,25th Feb 20
3,NBA 2K,Series,2K Games  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,130.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 99  ,16th Feb 20
4,Wii/Nintendo Sports,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,124.65m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,07th Feb 23
5,Pro Evolution Soccer/eFootball,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,112.50m,N/A,N/A,N/A,N/A,N/A,22nd Dec 95  ,07th Feb 22
6,Wii Sports,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,7.7  ,N/A  ,82.90m,N/A,N/A,N/A,N/A,N/A,19th Nov 06  ,N/A
7,NBA Live,Series,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,35.00m,N/A,N/A,N/A,N/A,N/A,01st Oct 94  ,24th Feb 20
8,Wii Sports Resort,Wii,Nintendo  ,Nintendo EAD  ,8.8  ,8.0  ,8.8  ,33.14m,N/A,N/A,N/A,N/A,N/A,26th Jul 09  ,N/A
9,Tony Hawk's,Series,Activision  ,Neversoft  ,N/A  ,N/A  ,N/A  ,31.12m,N/A,N/A,N/A,N/A,N/A,29th Sep 99  ,09th Mar 20
10,Mario & Sonic at the Olympic Games,Series,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,30.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 07  ,11th Mar 20
11,FIFA 18,All,Electronic Arts  ,EA Vancouver  ,N/A  ,N/A  ,N/A  ,26.40m,N/A,N/A,N/A,N/A,N/A,26th Sep 17  ,15th Oct 20
12,Tiger Woods PGA Tour,Series,EA Sports  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,25.00m,N/A,N/A,N/A,N/A,N/A,31st Aug 98  ,24th Feb 20
13,Jikkyo Powerful Pro Yakyu,Series,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,24.40m,N/A,N/A,N/A,N/A,N/A,11th Mar 94  ,26th Feb 20
14,Wii Fit,Wii,Nintendo  ,Nintendo EAD  ,8.0  ,7.9  ,N/A  ,22.67m,N/A,N/A,N/A,N/A,N/A,21st May 08  ,N/A
15,Wii Fit Plus,Wii,Nintendo  ,Nintendo EAD  ,N/A  ,8.0  ,N/A  ,21.13m,N/A,N/A,N/A,N/A,N/A,04th Oct 09  ,N/A
16,FIFA 19,All,EA Sports  ,EA Vancouver  ,N/A  ,N/A  ,N/A  ,20.00m,N/A,N/A,N/A,N/A,N/A,28th Sep 18  ,15th Oct 20
17,Mario Tennis,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,16.53m,N/A,N/A,N/A,N/A,N/A,14th Aug 95  ,21st Feb 20
18,FIFA 11,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,16.00m,N/A,N/A,N/A,N/A,N/A,28th Sep 10  ,15th Oct 20
19,Backyard Sports,Series,Humongous Entertainment  ,Humongous Entertainment  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,03rd Mar 20
20,Famista,Series,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 86  ,22nd Feb 20
21,Mario & Sonic at the Olympic Games,All,Sega  ,Sega Sports R&D  ,N/A  ,N/A  ,N/A  ,15.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 07  ,09th Nov 20
22,FIFA 13,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,14.50m,N/A,N/A,N/A,N/A,N/A,25th Sep 12  ,15th Oct 20
23,Everybody's Golf,Series,Sony Interactive Entertainment  ,Camelot Software  ,N/A  ,N/A  ,N/A  ,14.19m,N/A,N/A,N/A,N/A,N/A,30th Apr 98  ,09th Mar 20
24,NBA 2K20,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,14.00m,N/A,N/A,N/A,N/A,N/A,06th Sep 19  ,22nd Oct 20
25,Mario Golf,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,12.22m,N/A,N/A,N/A,N/A,N/A,29th Sep 91  ,21st Feb 20
26,NBA 2K19,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,12.00m,N/A,N/A,N/A,N/A,N/A,11th Sep 18  ,22nd Oct 20
27,FIFA 18,PS4,EA Sports  ,EA Vancouver  ,N/A  ,8.3  ,N/A  ,N/A,11.80m,1.27m,8.64m,0.15m,1.73m,29th Sep 17  ,02nd Apr 18
28,NBA 2K21,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,11.00m,N/A,N/A,N/A,N/A,N/A,04th Sep 20  ,06th Nov 20
